Post_ID,Brand_Name,Post_Type,Food_Category,Post_DateTime,Total_Likes,Total_Shares,Total_Comments,Reaction_Love,Reaction_Yummy,Reaction_Dislike,Post_Hour,Post_Day,Gender,Age_Group,Region,City_Tier,Total_Engagement,Engagement_Rate,Engagement_Category,Month,Month_Number,Quarter,Year,Is_Weekend,Day_Type,Is_Peak_Hour,Time_Period,Positive_Reactions,Sentiment_Score,Virality_Score,Virality_Category,Device_Type,Campaign_Type,Content_Theme,Share_Rate,Comment_Rate,Performance_Score,Performance_Category
POST_011,BurgerKing,Reel (Video),Fast Food,2025-06-06 00:58:30,4764,425,366,1726,1340,185,0,Friday,Male,25-34,North America,Tier 2,5555,5.56,High,June,6,Q2,2025,0,Weekday,0,Night,3066,0.886,8.92,Low,Mobile,Organic,Indulgent,8.92,7.68,6771,Medium
POST_012,Dominos,Carousel,Street Food,2025-05-10 14:20:47,2909,220,87,1105,625,74,14,Saturday,Other,25-34,Middle East,Tier 2,3216,3.22,High,May,5,Q2,2025,1,Weekend,1,Afternoon,1730,0.918,7.56,Low,Mobile,Paid,Authentic,7.56,2.99,3743,Low
POST_013,KFC,Reel (Video),Desserts,2025-12-14 05:38:58,3429,281,208,1195,741,167,5,Sunday,Female,45-54,South America,Tier 3,3918,3.92,High,December,12,Q4,2025,1,Weekend,0,Night,1936,0.841,8.19,Low,Desktop,Organic,Indulgent,8.19,6.06,4688,Low
POST_014,TacoBell,Static Image,Desserts,2025-12-07 13:52:57,1874,276,114,893,377,34,13,Sunday,Male,45-54,North America,Tier 1,2264,2.26,Medium,December,12,Q4,2025,1,Weekend,1,Afternoon,1270,0.948,14.72,Medium,Mobile,Organic,Indulgent,14.72,6.08,2930,Low
POST_015,Subway,Story,Street Food,2025-08-13 20:15:13,4868,838,431,1826,595,57,20,Wednesday,Male,18-24,Asia,Tier 1,6137,6.14,High,August,8,Q3,2025,0,Weekday,1,Evening,2421,0.954,17.21,Medium,Mobile,Organic,Authentic,17.21,8.85,8244,Medium
POST_016,Dominos,Static Image,Fast Food,2025-07-19 03:03:08,4844,751,130,1679,996,42,3,Saturday,Male,18-24,South America,Tier 1,5725,5.72,High,July,7,Q3,2025,1,Weekend,0,Night,2675,0.969,15.5,Medium,Mobile,Paid,Indulgent,15.5,2.68,7357,Medium
POST_017,TacoBell,Reel (Video),Desserts,2025-08-06 22:50:27,7191,369,257,4190,1420,292,22,Wednesday,Male,25-34,North America,Tier 2,7817,7.82,High,August,8,Q3,2025,0,Weekday,0,Evening,5610,0.901,5.13,Low,Mobile,Organic,Indulgent,5.13,3.57,8812,Medium
POST_018,Dominos,Story,Street Food,2025-01-26 00:18:37,4772,256,464,1731,928,209,0,Sunday,Female,35-44,Europe,Tier 3,5492,5.49,High,January,1,Q1,2025,1,Weekend,0,Night,2659,0.854,5.36,Low,Desktop,Organic,Authentic,5.36,9.72,6468,Medium
POST_019,TacoBell,Reel (Video),Healthy/Vegan,2025-11-02 07:11:05,1698,268,114,617,328,74,7,Sunday,Male,55+,South America,Tier 1,2080,2.08,Medium,November,11,Q4,2025,1,Weekend,0,Morning,945,0.855,15.77,Medium,Mobile,Paid,Health-Conscious,15.77,6.71,2730,Low
POST_020,Dominos,Static Image,Fast Food,2025-06-19 02:49:47,1631,191,67,703,463,56,2,Thursday,Male,18-24,North America,Tier 3,1889,1.89,Medium,June,6,Q2,2025,0,Weekday,0,Night,1166,0.908,11.7,Medium,Mobile,Paid,Indulgent,11.7,4.11,2338,Low
POST_021,BurgerKing,Reel (Video),Street Food,2025-07-29 16:59:38,5350,676,349,2504,1187,50,16,Tuesday,Female,25-34,Asia,Tier 1,6375,6.38,High,July,7,Q3,2025,0,Weekday,0,Afternoon,3691,0.973,12.63,Medium,Tablet,Paid,Authentic,12.63,6.52,8076,Medium
POST_022,KFC,Reel (Video),Healthy/Vegan,2025-03-18 20:43:31,2538,462,124,1267,749,109,20,Tuesday,Male,25-34,North America,Tier 3,3124,3.12,High,March,3,Q1,2025,0,Weekday,1,Evening,2016,0.897,18.2,Medium,Mobile,Organic,Health-Conscious,18.2,4.88,4172,Low
POST_023,Starbucks,Story,Desserts,2025-07-25 20:00:53,147,17,8,65,16,6,20,Friday,Male,55+,South America,Tier 1,172,0.17,Low,July,7,Q3,2025,0,Weekday,1,Evening,81,0.862,11.49,Medium,Desktop,Organic,Indulgent,11.49,5.41,214,Low
POST_024,Subway,Carousel,Beverages,2025-03-27 23:55:20,4228,349,172,1302,1052,111,23,Thursday,Male,35-44,Middle East,Tier 1,4749,4.75,High,March,3,Q1,2025,0,Weekday,0,Evening,2354,0.91,8.25,Low,Mobile,Organic,Refreshing,8.25,4.07,5619,Medium
POST_025,BurgerKing,Story,Fast Food,2026-01-03 07:55:28,3980,261,348,1897,611,139,7,Saturday,Male,35-44,South America,Tier 1,4589,4.59,High,January,1,Q1,2026,1,Weekend,0,Morning,2508,0.895,6.56,Low,Mobile,Paid,Indulgent,6.56,8.74,5459,Medium
POST_026,BurgerKing,Reel (Video),Healthy/Vegan,2025-03-27 12:30:13,6442,687,387,2606,933,70,12,Thursday,Female,25-34,Europe,Tier 1,7516,7.52,High,March,3,Q1,2025,0,Weekday,1,Morning,3539,0.961,10.66,Medium,Mobile,Organic,Health-Conscious,10.66,6.01,9277,Medium
POST_027,Subway,Static Image,Beverages,2025-10-03 02:01:58,4707,613,126,1447,889,89,2,Friday,Male,25-34,South America,Tier 1,5446,5.45,High,October,10,Q4,2025,0,Weekday,0,Night,2336,0.927,13.02,Medium,Desktop,Organic,Refreshing,13.02,2.68,6798,Medium
POST_028,TacoBell,Static Image,Healthy/Vegan,2026-01-06 20:34:29,2641,154,104,1012,621,48,20,Tuesday,Female,18-24,Asia,Tier 1,2899,2.9,Medium,January,1,Q1,2026,0,Weekday,1,Evening,1633,0.943,5.83,Low,Tablet,Paid,Health-Conscious,5.83,3.94,3311,Low
POST_029,TacoBell,Story,Desserts,2025-08-15 08:36:34,4144,462,239,1312,558,69,8,Friday,Female,18-24,North America,Tier 2,4845,4.84,High,August,8,Q3,2025,0,Weekday,0,Morning,1870,0.929,11.15,Medium,Mobile,Organic,Indulgent,11.15,5.77,6008,Medium
POST_030,BurgerKing,Story,Desserts,2025-07-01 08:29:18,3336,497,90,1281,707,3,8,Tuesday,Male,45-54,Asia,Tier 2,3923,3.92,High,July,7,Q3,2025,0,Weekday,0,Morning,1988,0.997,14.89,Medium,Mobile,Paid,Indulgent,14.89,2.7,5007,Medium
POST_031,BurgerKing,Carousel,Street Food,2026-01-06 10:23:24,2164,380,189,767,469,85,10,Tuesday,Female,35-44,North America,Tier 1,2733,2.73,Medium,January,1,Q1,2026,0,Weekday,0,Morning,1236,0.871,17.55,Medium,Mobile,Paid,Authentic,17.55,8.73,3682,Low
POST_032,BurgerKing,Reel (Video),Street Food,2025-04-06 10:27:48,2334,136,98,860,654,24,10,Sunday,Male,55+,Europe,Tier 2,2568,2.57,Medium,April,4,Q2,2025,1,Weekend,0,Morning,1514,0.969,5.82,Low,Mobile,Paid,Authentic,5.82,4.2,2938,Low
POST_033,Dominos,Carousel,Healthy/Vegan,2025-07-19 22:14:02,797,63,66,328,133,12,22,Saturday,Male,55+,North America,Tier 2,926,0.93,Low,July,7,Q3,2025,1,Weekend,0,Evening,461,0.949,7.89,Low,Mobile,Organic,Health-Conscious,7.89,8.27,1118,Low
POST_034,Subway,Static Image,Beverages,2026-01-16 02:17:23,4288,287,255,1810,632,164,2,Friday,Female,25-34,North America,Tier 1,4830,4.83,High,January,1,Q1,2026,0,Weekday,0,Night,2442,0.874,6.69,Low,Tablet,Organic,Refreshing,6.69,5.95,5659,Medium
POST_035,BurgerKing,Story,Desserts,2025-09-19 05:19:13,3998,706,254,1255,1185,129,5,Friday,Other,35-44,North America,Tier 1,4958,4.96,High,September,9,Q3,2025,0,Weekday,0,Night,2440,0.9,17.65,Medium,Mobile,Paid,Indulgent,17.65,6.35,6624,Medium
POST_036,Subway,Reel (Video),Healthy/Vegan,2025-08-31 16:17:05,6546,1045,452,3356,1735,56,16,Sunday,Female,45-54,Asia,Tier 1,8043,8.04,High,August,8,Q3,2025,1,Weekend,0,Afternoon,5091,0.978,15.96,Medium,Mobile,Paid,Health-Conscious,15.96,6.9,10585,Medium
POST_037,TacoBell,Static Image,Fast Food,2025-05-23 01:14:50,2760,235,101,1653,520,109,1,Friday,Male,35-44,North America,Tier 1,3096,3.1,High,May,5,Q2,2025,0,Weekday,0,Night,2173,0.904,8.51,Low,Mobile,Paid,Indulgent,8.51,3.66,3667,Low
POST_038,TacoBell,Static Image,Fast Food,2025-12-11 11:29:44,4915,739,402,1982,1448,157,11,Thursday,Male,18-24,Asia,Tier 2,6056,6.06,High,December,12,Q4,2025,0,Weekday,1,Morning,3430,0.912,15.03,Medium,Mobile,Organic,Indulgent,15.03,8.18,7936,Medium
POST_039,BurgerKing,Story,Desserts,2025-06-04 07:05:06,1771,213,152,966,390,87,7,Wednesday,Female,25-34,North America,Tier 1,2136,2.14,Medium,June,6,Q2,2025,0,Weekday,0,Morning,1356,0.879,12.02,Medium,Mobile,Paid,Indulgent,12.02,8.58,2714,Low
POST_040,BurgerKing,Reel (Video),Desserts,2025-08-08 03:57:32,1137,120,53,439,192,13,3,Friday,Male,18-24,North America,Tier 2,1310,1.31,Medium,August,8,Q3,2025,0,Weekday,0,Night,631,0.96,10.54,Medium,Mobile,Paid,Indulgent,10.54,4.66,1603,Low
POST_041,Dominos,Static Image,Street Food,2025-11-01 02:07:01,1974,222,148,899,253,69,2,Saturday,Male,55+,Europe,Tier 2,2344,2.34,Medium,November,11,Q4,2025,1,Weekend,0,Night,1152,0.887,11.24,Medium,Desktop,Paid,Authentic,11.24,7.49,2936,Low
POST_042,TacoBell,Static Image,Street Food,2025-08-28 09:08:51,1482,290,64,731,219,70,9,Thursday,Female,25-34,Asia,Tier 1,1836,1.84,Medium,August,8,Q3,2025,0,Weekday,0,Morning,950,0.863,19.55,Medium,Mobile,Paid,Authentic,19.55,4.32,2480,Low
POST_043,TacoBell,Carousel,Street Food,2025-11-26 03:46:27,689,101,50,338,142,26,3,Wednesday,Male,18-24,North America,Tier 2,840,0.84,Low,November,11,Q4,2025,0,Weekday,0,Night,480,0.897,14.64,Medium,Mobile,Paid,Authentic,14.64,7.25,1092,Low
POST_044,KFC,Static Image,Beverages,2025-08-17 18:00:31,4005,575,376,1872,1194,110,18,Sunday,Female,35-44,Asia,Tier 1,4956,4.96,High,August,8,Q3,2025,1,Weekend,1,Afternoon,3066,0.931,14.35,Medium,Mobile,Organic,Refreshing,14.35,9.39,6482,Medium
POST_045,TacoBell,Static Image,Healthy/Vegan,2025-10-05 16:04:36,3855,642,115,1754,1026,108,16,Sunday,Male,25-34,South America,Tier 3,4612,4.61,High,October,10,Q4,2025,1,Weekend,0,Afternoon,2780,0.925,16.65,Medium,Desktop,Organic,Health-Conscious,16.65,2.98,6011,Medium
POST_046,BurgerKing,Static Image,Healthy/Vegan,2025-03-28 16:25:00,4336,532,160,2050,693,159,16,Friday,Female,25-34,Asia,Tier 1,5028,5.03,High,March,3,Q1,2025,0,Weekday,0,Afternoon,2743,0.89,12.27,Medium,Desktop,Organic,Health-Conscious,12.27,3.69,6252,Medium
POST_047,Subway,Carousel,Healthy/Vegan,2025-11-19 15:40:26,3217,626,209,1033,416,139,15,Wednesday,Male,18-24,North America,Tier 2,4052,4.05,High,November,11,Q4,2025,0,Weekday,0,Afternoon,1449,0.825,19.45,Medium,Mobile,Organic,Health-Conscious,19.45,6.49,5513,Medium
POST_048,Dominos,Story,Street Food,2025-08-21 17:45:21,2350,160,141,837,625,1,17,Thursday,Female,35-44,North America,Tier 2,2651,2.65,Medium,August,8,Q3,2025,0,Weekday,0,Afternoon,1462,0.999,6.81,Low,Desktop,Organic,Authentic,6.81,6.0,3112,Low
POST_049,KFC,Reel (Video),Fast Food,2025-01-07 16:03:45,615,119,54,334,107,12,16,Tuesday,Female,25-34,South America,Tier 1,788,0.79,Low,January,1,Q1,2025,0,Weekday,0,Afternoon,441,0.947,19.32,Medium,Mobile,Organic,Indulgent,19.32,8.77,1080,Low
POST_050,KFC,Story,Fast Food,2025-12-04 13:55:54,4813,847,405,2651,484,219,13,Thursday,Male,35-44,North America,Tier 2,6065,6.06,High,December,12,Q4,2025,0,Weekday,1,Afternoon,3135,0.869,17.59,Medium,Mobile,Organic,Indulgent,17.59,8.41,8164,Medium
POST_051,Starbucks,Story,Healthy/Vegan,2025-08-09 04:04:43,4317,552,171,1317,966,33,4,Saturday,Other,25-34,South America,Tier 3,5040,5.04,High,August,8,Q3,2025,1,Weekend,0,Night,2283,0.972,12.78,Medium,Mobile,Organic,Health-Conscious,12.78,3.96,6315,Medium
POST_052,BurgerKing,Story,Fast Food,2025-05-28 04:18:22,629,50,57,357,121,7,4,Wednesday,Female,45-54,Europe,Tier 2,736,0.74,Low,May,5,Q2,2025,0,Weekday,0,Night,478,0.971,7.94,Low,Mobile,Organic,Indulgent,7.94,9.05,893,Low
POST_053,KFC,Carousel,Desserts,2025-09-06 23:46:22,2095,386,81,770,334,17,23,Saturday,Female,25-34,South America,Tier 2,2562,2.56,Medium,September,9,Q3,2025,1,Weekend,0,Evening,1104,0.97,18.42,Medium,Mobile,Paid,Indulgent,18.42,3.86,3415,Low
POST_054,BurgerKing,Static Image,Street Food,2025-12-28 11:37:16,4565,681,279,1775,1258,22,11,Sunday,Female,25-34,Asia,Tier 3,5525,5.52,High,December,12,Q4,2025,1,Weekend,1,Morning,3033,0.986,14.91,Medium,Desktop,Paid,Authentic,14.91,6.11,7166,Medium
POST_055,BurgerKing,Reel (Video),Desserts,2026-01-28 12:52:55,3421,400,300,1785,649,26,12,Wednesday,Female,45-54,Middle East,Tier 1,4121,4.12,High,January,1,Q1,2026,0,Weekday,1,Morning,2434,0.979,11.69,Medium,Desktop,Organic,Indulgent,11.69,8.77,5221,Medium
POST_056,Starbucks,Carousel,Street Food,2025-07-21 02:25:29,1106,188,80,393,267,13,2,Monday,Female,25-34,Europe,Tier 1,1374,1.37,Medium,July,7,Q3,2025,0,Weekday,0,Night,660,0.961,16.98,Medium,Mobile,Paid,Authentic,16.98,7.23,1830,Low
POST_057,TacoBell,Static Image,Fast Food,2025-09-23 03:54:02,377,47,16,138,69,17,3,Tuesday,Male,18-24,Asia,Tier 2,440,0.44,Low,September,9,Q3,2025,0,Weekday,0,Night,207,0.848,12.43,Medium,Mobile,Organic,Indulgent,12.43,4.23,550,Low
POST_058,TacoBell,Static Image,Healthy/Vegan,2025-11-14 13:20:55,3741,723,340,1975,996,107,13,Friday,Male,18-24,Europe,Tier 1,4804,4.8,High,November,11,Q4,2025,0,Weekday,1,Afternoon,2971,0.93,19.32,Medium,Mobile,Organic,Health-Conscious,19.32,9.09,6590,Medium
POST_059,BurgerKing,Static Image,Beverages,2025-01-25 02:35:29,3254,289,173,1950,667,52,2,Saturday,Male,35-44,Europe,Tier 2,3716,3.72,High,January,1,Q1,2025,1,Weekend,0,Night,2617,0.961,8.88,Low,Mobile,Organic,Refreshing,8.88,5.31,4467,Low
POST_060,Dominos,Carousel,Desserts,2025-01-15 15:49:26,4674,559,393,2064,1195,94,15,Wednesday,Male,25-34,Asia,Tier 3,5626,5.63,High,January,1,Q1,2025,0,Weekday,0,Afternoon,3259,0.944,11.96,Medium,Mobile,Organic,Indulgent,11.96,8.41,7137,Medium
POST_061,TacoBell,Carousel,Desserts,2025-09-09 16:04:24,3236,330,105,1007,447,70,16,Tuesday,Male,35-44,South America,Tier 1,3671,3.67,High,September,9,Q3,2025,0,Weekday,0,Afternoon,1454,0.908,10.19,Medium,Mobile,Paid,Indulgent,10.19,3.24,4436,Low
POST_062,Subway,Story,Healthy/Vegan,2025-04-01 15:54:21,4410,323,122,2098,1140,132,15,Tuesday,Male,18-24,Middle East,Tier 1,4855,4.86,High,April,4,Q2,2025,0,Weekday,0,Afternoon,3238,0.922,7.32,Low,Mobile,Paid,Health-Conscious,7.32,2.77,5623,Medium
POST_063,Dominos,Story,Beverages,2025-05-13 23:45:50,2546,139,135,975,446,44,23,Tuesday,Female,18-24,Asia,Tier 2,2820,2.82,Medium,May,5,Q2,2025,0,Weekday,0,Evening,1421,0.94,5.46,Low,Desktop,Organic,Refreshing,5.46,5.3,3233,Low
POST_064,TacoBell,Reel (Video),Beverages,2025-04-26 01:39:40,6325,537,141,3230,937,227,1,Saturday,Male,18-24,Europe,Tier 1,7003,7.0,High,April,4,Q2,2025,1,Weekend,0,Night,4167,0.897,8.49,Low,Mobile,Organic,Refreshing,8.49,2.23,8218,Medium
POST_065,TacoBell,Reel (Video),Desserts,2025-05-11 01:10:40,5121,267,305,3016,1196,28,1,Sunday,Male,25-34,Europe,Tier 2,5693,5.69,High,May,5,Q2,2025,1,Weekend,0,Night,4212,0.987,5.21,Low,Mobile,Organic,Indulgent,5.21,5.95,6532,Medium
POST_066,KFC,Carousel,Desserts,2025-10-08 15:35:38,416,49,25,205,111,10,15,Wednesday,Female,25-34,Asia,Tier 1,490,0.49,Low,October,10,Q4,2025,0,Weekday,0,Afternoon,316,0.939,11.75,Medium,Desktop,Organic,Indulgent,11.75,6.0,613,Low
POST_067,TacoBell,Static Image,Beverages,2025-04-08 00:33:49,2734,522,151,866,331,102,0,Tuesday,Male,25-34,North America,Tier 2,3407,3.41,High,April,4,Q2,2025,0,Weekday,0,Night,1197,0.843,19.09,Medium,Mobile,Organic,Refreshing,19.09,5.52,4602,Low
POST_068,TacoBell,Carousel,Fast Food,2025-05-05 07:44:28,2024,157,50,806,272,13,7,Monday,Female,25-34,North America,Tier 1,2231,2.23,Medium,May,5,Q2,2025,0,Weekday,0,Morning,1078,0.976,7.75,Low,Mobile,Organic,Indulgent,7.75,2.47,2595,Low
POST_069,TacoBell,Reel (Video),Street Food,2025-05-11 09:48:12,2967,445,77,1121,623,68,9,Sunday,Male,45-54,Europe,Tier 2,3489,3.49,High,May,5,Q2,2025,1,Weekend,0,Morning,1744,0.925,14.99,Medium,Mobile,Paid,Authentic,14.99,2.59,4456,Low
POST_070,Starbucks,Carousel,Fast Food,2025-11-23 15:47:08,3613,444,237,1926,740,28,15,Sunday,Other,25-34,North America,Tier 1,4294,4.29,High,November,11,Q4,2025,1,Weekend,0,Afternoon,2666,0.979,12.29,Medium,Mobile,Paid,Indulgent,12.29,6.56,5419,Medium
POST_071,TacoBell,Carousel,Healthy/Vegan,2025-10-29 08:33:11,4130,724,264,1954,653,103,8,Wednesday,Female,25-34,North America,Tier 2,5118,5.12,High,October,10,Q4,2025,0,Weekday,0,Morning,2607,0.924,17.53,Medium,Desktop,Organic,Health-Conscious,17.53,6.39,6830,Medium
POST_072,Subway,Story,Street Food,2025-06-30 17:41:40,4728,903,334,2443,790,32,17,Monday,Male,35-44,North America,Tier 1,5965,5.96,High,June,6,Q2,2025,0,Weekday,0,Afternoon,3233,0.98,19.09,Medium,Mobile,Paid,Authentic,19.09,7.06,8105,Medium
POST_073,TacoBell,Static Image,Desserts,2025-03-14 08:30:14,1427,174,67,778,261,13,8,Friday,Male,25-34,North America,Tier 2,1668,1.67,Medium,March,3,Q1,2025,0,Weekday,0,Morning,1039,0.975,12.18,Medium,Mobile,Organic,Indulgent,12.18,4.69,2083,Low
POST_074,BurgerKing,Carousel,Street Food,2025-01-06 04:33:38,2049,226,124,1081,208,42,4,Monday,Female,25-34,North America,Tier 3,2399,2.4,Medium,January,1,Q1,2025,0,Weekday,0,Night,1289,0.937,11.02,Medium,Desktop,Organic,Authentic,11.02,6.05,2975,Low
POST_075,Starbucks,Reel (Video),Street Food,2025-01-23 22:47:19,6280,805,193,3065,1860,127,22,Thursday,Female,45-54,Middle East,Tier 1,7278,7.28,High,January,1,Q1,2025,0,Weekday,0,Evening,4925,0.95,12.82,Medium,Desktop,Organic,Authentic,12.82,3.07,9081,Medium
POST_076,TacoBell,Static Image,Beverages,2025-06-13 12:41:05,3631,540,282,1481,1036,120,12,Friday,Female,45-54,Europe,Tier 1,4453,4.45,High,June,6,Q2,2025,0,Weekday,1,Morning,2517,0.909,14.87,Medium,Desktop,Organic,Refreshing,14.87,7.76,5815,Medium
POST_077,TacoBell,Story,Desserts,2025-07-17 19:07:01,2404,273,177,1303,690,26,19,Thursday,Female,18-24,Europe,Tier 1,2854,2.85,Medium,July,7,Q3,2025,0,Weekday,1,Evening,1993,0.974,11.35,Medium,Mobile,Paid,Indulgent,11.35,7.36,3577,Low
POST_078,Subway,Reel (Video),Desserts,2025-09-16 20:00:52,4801,518,386,1515,621,126,20,Tuesday,Male,45-54,Asia,Tier 2,5705,5.7,High,September,9,Q3,2025,0,Weekday,1,Evening,2136,0.889,10.79,Medium,Mobile,Organic,Indulgent,10.79,8.04,7127,Medium
POST_079,TacoBell,Static Image,Healthy/Vegan,2025-05-06 04:47:20,238,29,15,79,36,0,4,Tuesday,Male,25-34,North America,Tier 2,282,0.28,Low,May,5,Q2,2025,0,Weekday,0,Night,115,1.0,12.13,Medium,Tablet,Organic,Health-Conscious,12.13,6.28,355,Low
POST_080,Subway,Reel (Video),Healthy/Vegan,2025-04-30 15:27:12,3970,511,242,1298,583,17,15,Wednesday,Male,18-24,South America,Tier 2,4723,4.72,High,April,4,Q2,2025,0,Weekday,0,Afternoon,1881,0.982,12.87,Medium,Desktop,Organic,Health-Conscious,12.87,6.09,5987,Medium
POST_081,Dominos,Story,Fast Food,2025-10-19 07:35:19,912,46,57,455,234,0,7,Sunday,Female,25-34,Asia,Tier 1,1015,1.01,Medium,October,10,Q4,2025,1,Weekend,0,Morning,689,1.0,5.04,Low,Mobile,Organic,Indulgent,5.04,6.24,1164,Low
POST_082,BurgerKing,Story,Fast Food,2025-08-17 14:39:18,2622,261,184,1523,622,64,14,Sunday,Female,55+,North America,Tier 1,3067,3.07,High,August,8,Q3,2025,1,Weekend,1,Afternoon,2145,0.942,9.95,Low,Mobile,Paid,Indulgent,9.95,7.01,3773,Low
POST_083,TacoBell,Carousel,Beverages,2025-12-25 13:49:33,4012,201,396,1815,728,50,13,Thursday,Male,25-34,Europe,Tier 2,4609,4.61,High,December,12,Q4,2025,0,Weekday,1,Afternoon,2543,0.961,5.01,Low,Mobile,Organic,Refreshing,5.01,9.87,5407,Medium
POST_084,Subway,Reel (Video),Desserts,2026-01-18 12:20:19,2835,496,92,1055,636,32,12,Sunday,Male,25-34,South America,Tier 1,3423,3.42,High,January,1,Q1,2026,1,Weekend,1,Morning,1691,0.963,17.49,Medium,Desktop,Organic,Indulgent,17.49,3.24,4507,Low
POST_085,BurgerKing,Static Image,Desserts,2025-10-14 23:11:54,398,36,15,234,65,6,23,Tuesday,Male,25-34,South America,Tier 3,449,0.45,Low,October,10,Q4,2025,0,Weekday,0,Evening,299,0.961,9.02,Low,Mobile,Organic,Indulgent,9.02,3.76,536,Low
POST_086,BurgerKing,Carousel,Desserts,2025-07-28 23:31:49,4427,387,301,1561,721,6,23,Monday,Male,18-24,Europe,Tier 1,5115,5.12,High,July,7,Q3,2025,0,Weekday,0,Evening,2282,0.995,8.74,Low,Mobile,Organic,Indulgent,8.74,6.8,6190,Medium
POST_087,KFC,Static Image,Street Food,2025-06-27 22:44:44,546,33,32,299,70,22,22,Friday,Female,18-24,Asia,Tier 2,611,0.61,Low,June,6,Q2,2025,0,Weekday,0,Evening,369,0.887,6.03,Low,Mobile,Organic,Authentic,6.03,5.85,709,Low
POST_088,TacoBell,Reel (Video),Healthy/Vegan,2025-11-30 03:41:42,7122,893,225,3717,1859,213,3,Sunday,Female,18-24,North America,Tier 1,8240,8.24,High,November,11,Q4,2025,1,Weekend,0,Night,5576,0.926,12.54,Medium,Mobile,Paid,Health-Conscious,12.54,3.16,10251,Medium
POST_089,Dominos,Carousel,Healthy/Vegan,2025-08-03 23:54:32,2202,146,144,1288,475,16,23,Sunday,Female,18-24,Middle East,Tier 1,2492,2.49,Medium,August,8,Q3,2025,1,Weekend,0,Evening,1763,0.982,6.63,Low,Desktop,Organic,Health-Conscious,6.63,6.54,2928,Low
